"longitude","latitude","Stazione","Cartella","Note"
"15.31015330517377","38.205541095396697","C.da Gabbia ME","gabbia",
"14.28146313435748","37.564124595746769","Enna EN","enna",
"14.297143502029339","37.055867210245147","Ex Autoparco CL","exautoparco",
"15.1829","37.1946","Megara SR","megara",
"15.010816476715309","37.515638353964782","Misterbianco CT","misterbianco",
"14.26508","37.05961","Parcheggio Agip CL","parcheggio",
"13.118666520880611","38.050178774922209","Partinico PA","partinico",
"15.168453","37.222478","Sasol SR","sasol",
"15.24911245586742","38.190607842097663","Termica Milazzo ME","termica",
"13.687927679883471","37.977897860645072","Termini Imerese PA","termini",
"12.54689435416436","38.012364674392238","Trapani TP","trapani",
,,,"villaaugusta","Coordinate mancanti"
,,,"portoempedocle","Coordinate mancanti"
